id_project,nama_project,id_client,StartDate,EndDate
p001,Website Redesign,c001,1/1/2023,3/1/2023
p002,App Development,c002,2/15/2023,5/15/2023
p003,Marketing Campaign,c003,3/1/2023,6/1/2023
p004,Cloud Migration,c004,1/15/2023,4/15/2023
p005,Data Analysis,c005,2/1/2023,5/1/2023
p006,AI Model Development,c006,3/10/2023,7/10/2023
p007,VR Experience,c007,1/20/2023,4/20/2023
p008,Website Maintenance,c008,2/25/2023,5/25/2023
p009,Software Upgrade,c009,1/30/2023,4/30/2023
p010,Mobile App Launch,c010,3/1/2023,6/1/2023
p011,SEO Strategy,c011,1/15/2023,5/15/2023
p012,Product Launch,c012,2/5/2023,6/5/2023
p013,E-commerce Solution,c013,3/1/2023,7/1/2023
p014,Social Media Campaign,c014,1/10/2023,3/10/2023
p015,Data Visualization,c015,2/20/2023,5/20/2023
p016,IT Infrastructure,c016,1/25/2023,4/25/2023
p017,Web Analytics,c017,2/15/2023,5/15/2023
p018,Customer Feedback System,c018,3/5/2023,6/5/2023
p019,Supply Chain Optimization,c019,1/1/2023,3/1/2023
p020,Remote Work Setup,c020,2/10/2023,4/10/2023
p021,optimize back-end content,c003,4/14/2025,3/18/2025
p022,maximize open-source paradigms,c004,4/18/2025,2/23/2025
p023,unleash frictionless e-tailers,c004,1/17/2025,5/5/2025
p024,harness clicks-and-mortar e-commerce,c003,3/16/2025,3/7/2025
p025,syndicate open-source technologies,c004,3/14/2025,1/24/2025
p026,implement sticky schemas,c001,2/8/2025,1/18/2025
p027,revolutionize killer communities,c003,3/1/2025,2/26/2025
p028,repurpose plug-and-play eyeballs,c005,3/11/2025,1/15/2025
p029,evolve world-class paradigms,c003,2/13/2025,3/25/2025
p030,streamline best-of-breed schemas,c003,2/10/2025,1/17/2025
p031,transform frictionless architectures,c003,1/28/2025,1/23/2025
p032,empower holistic interfaces,c005,1/6/2025,3/25/2025
p033,aggregate seamless eyeballs,c001,1/24/2025,1/20/2025
p034,syndicate scalable deliverables,c001,4/1/2025,3/9/2025
p035,aggregate B2B portals,c001,1/22/2025,1/7/2025
p036,exploit clicks-and-mortar networks,c004,5/13/2025,3/14/2025
p037,visualize bleeding-edge methodologies,c003,5/30/2025,3/22/2025
p038,grow clicks-and-mortar applications,c003,5/28/2025,4/6/2025
p039,e-enable collaborative metrics,c003,1/7/2025,3/17/2025
p040,benchmark mission-critical experiences,c001,1/12/2025,1/23/2025
p041,cultivate enterprise e-markets,c003,3/30/2025,5/22/2025
p042,transition dynamic e-markets,c001,3/1/2025,3/27/2025
p043,envisioneer front-end methodologies,c003,5/20/2025,2/5/2025
p044,seize holistic synergies,c005,5/30/2025,5/16/2025
p045,synthesize distributed eyeballs,c003,1/6/2025,1/12/2025
p046,extend 24/365 metrics,c002,1/30/2025,5/23/2025
